,course_title,course_URL,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
14,Architecting with Google Compute Engine,https://www.coursera.org/specializations/gcp-architecture,Google Cloud,SPECIALIZATION,4.7,Intermediate,420k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6a/75d00056d811e7aae86b0ee90dd46b/hero-2.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Architecting with Google Compute Engine by Google Cloud
15,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,560k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/wharton-business-foundations/wharton-business-foundations-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Business Foundations by University of Pennsylvania
16,Cloud Engineering with Google Cloud,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,420k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/64/b30013147f4398b756ee843ce9895c/Option-1_1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Cloud Engineering with Google Cloud by Google Cloud
17,DeepLearning.AI TensorFlow Developer,https://www.coursera.org/professional-certificates/tensorflow-in-practice,deeplearning.ai,PROFESSIONAL CERTIFICATE,4.7,Intermediate,240k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f9/0b7f2715b04c3fba7f716e95f1a87e/tfm1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,DeepLearning.AI TensorFlow Developer by deeplearning.ai
18,Excel Skills for Business,https://www.coursera.org/specializations/excel,Macquarie University,SPECIALIZATION,4.9,Beginner,470k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a5/5fe03ce0bd4774b8025536110a845e/04.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Excel Skills for Business by Macquarie University
19,IBM Applied AI,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,330k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2d/c35b3f894a40b2bd4af2451b6daa8b/Professional-Certificate---Applied-AI.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM Applied AI by IBM
20,Data Science: Foundations using R,https://www.coursera.org/specializations/data-science-foundations-r,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,900k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b6/e4931fd75a409c9a6dfae9ad95f903/Data-Science-Fundementals-in-Research.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Data Science: Foundations using R by Johns Hopkins University
21,IBM Cybersecurity Analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,IBM,PROFESSIONAL CERTIFICATE,4.5,Beginner,110k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/67/6a8a23c93d424fa3a39138428681f3/Professional_Certificate_-_IBM_Cybersecurity_Analyst.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM Cybersecurity Analyst by IBM
22,Digital Marketing,https://www.coursera.org/specializations/digital-marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,500k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/81/52c588499149258377d9f6dbc9db20/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Digital Marketing by University of Illinois at Urbana-Champaign
23,Natural Language Processing,https://www.coursera.org/specializations/natural-language-processing,deeplearning.ai,SPECIALIZATION,4.6,Intermediate,50k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/50/6be3e57a3449ec88e9e91dcbc658dc/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Natural Language Processing by deeplearning.ai
24,SRE and DevOps Engineer with Google Cloud,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Beginner,460k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/9de77ef69f4fcc97b4aaa8a9958183/devops.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,SRE and DevOps Engineer with Google Cloud by Google Cloud
